Jawie, 2014.353425, 2014.517808
Kakua, 2014.400000, 2014.515068
Kissi_Kama, 2014.364384, 2014.479452
Kissi_Teng, 2014.336986, 2014.512329
Kissi_Tongi, 2014.345205, 2014.460274
Kpeje_Bongre, 2014.380822, 2014.495890
Kpeje_West, 2014.400000, 2014.515068
Luawa, 2014.372603, 2014.517808
Malema, 2014.397260, 2014.512329
Mambolo, 2014.364384, 2014.479452
Mandu, 2014.386301, 2014.501370
N/A, 2014.386301, 2014.501370
Njaluahun, 2014.378082, 2014.493151
Nongowa, 2014.402740, 2014.517808
Guinea, 2014.147945, 2014.271233
